"AMEX Securities as of 11/9/2007","","",""
"Name","Symbol","Market Value (millions)","Description (as filed with the SEC)"
"Austral Pacific Energy Ltd.","AEN","$35.3","The Company’s legal and commercial name is Austral Pacific Energy Ltd. It
changed its name from “Indo-Pacific Energy Ltd” on December 31, 2003. The
Company was incorporated on July 31, 1979 under the name Pryme Energy Resources
Ltd. under the Company Act (British Columbia, Canada), and has operated
continuously since that time.

The Company has been legally domiciled in British Columbia, Canada, since
October 2006 and operates as a corporation under the Business Corporations Act
(British Columbia) which replaced the Company Act (British Columbia) in 2004.
The Company had been continued out of British Columbia into the jurisdiction of
the Yukon in Canada on September 25, 1997, and operated under the Business
Corporations Act (Yukon) from that time. In early 2006, the Board of Directors
of the Company resolved to propose the return of the Company’s incorporation to
British Columbia to the annual meeting of shareholders in May 2006.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f06%2f14%2f0001145443-07-001791.html#FIS_COMPANY_INFORMATION"" &nbsp;&nbsp;"
"Avalon Holdings Corporation","AWX","$23.0","Avalon Holdings Corporation (“Avalon”) was formed on April 30, 1998 as a
subsidiary of American Waste Services, Inc. (“AWS”). Pursuant to the terms of a
Contribution and Distribution Agreement dated as of May 7, 1998 between Avalon
and AWS, AWS contributed to Avalon its transportation operations, technical
environmental services operations, waste disposal brokerage and management
operations, and golf course and related operations, together with certain other
assets including the headquarters of AWS and certain accounts receivable. In
connection with the contribution, Avalon also assumed certain liabilities of
AWS. On June 17, 1998, AWS distributed, as a special dividend, all of the
outstanding shares of capital stock of Avalon to the holders of AWS common stock
on a pro rata and corresponding basis (the “Spin-off”).&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f20%2f0001193125-07-059373.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"AXESSTEL INC","AFT","$15.8","Axesstel designs, develops, and markets fixed wireless voice and broadband data
products for the worldwide telecommunications market. Our product portfolio
includes fixed wireless desktop phones, public call office phones, voice/data
terminals, fixed and mobile broadband modems, and 3G gateway devices for access
to voice calling and high-speed data services. Our products have similar
functionality to phones and modems that use traditional landline
telecommunications network; however, they leverage wireless 2.5 and 3G networks
to provide voice and broadband data services in areas without landline
infrastructure or as a fixed or mobile alternative to existing landline
infrastructure.

Most of our products sold to date have been based on CDMA2000 (3G Code Division
Multiple Access) 1X and 1xEV-DO Rev 0 technology.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f02%2f0001193125-07-072138.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"B+H Ocean Carriers Ltd.","BHO","$111.0","B+H Ocean Carriers Ltd. (the ""Company""*) was organized in April 1988 to engage
in the business of acquiring, investing in, owning, operating and selling
vessels for dry bulk and liquid cargo transporta-tion. As of December 31, 2006,
the Company owned and operated six MR product tankers, two Panamax product
tankers and six OBOs. The Company also owns a 50% interest in a company which is
the disponent owner of a 1992-built 75,000 DWT Combination Carrier, effected
through a lease structure. Each vessel accounts for a significant portion of the
Company’s revenues.

The Company’s fleet of product tankers consist of “handy-size” vessels which are
between 30,000 and 50,000 summer dead-weight tons (""DWT""), and are able, by
reason of their smaller size, to trans-port commodities to and from most ports
in the world, includ-ing those located in less developed third-world countries.
The Company’s Panamax product tankers are 61,000 and 68,500 DWT.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f05%2f03%2f0000835540-07-000008.html#FIS_COMPANY_INFORMATION"" &nbsp;&nbsp;"
"Badger Meter, Inc.","BMI","$518.4","The Company is a leading marketer and manufacturer of products, and a provider
of services, using flow measurement and control technologies serving markets
worldwide. The Company was incorporated in 1905.
 
Available Information
 
The Company’s Internet address is http://www.badgermeter.com. The Company makes
available free of charge (other than an investor’s own Internet access charges)
through its Internet website its Annual Report on


                                       1

--------------------------------------------------------------------------------
 

Form 10-K, quarterly reports on Form 10-Q, current reports on Form 8-K, and
amendments to those reports, on the same day they are electronically filed with,
or furnished to, the Securities and Exchange Commission. The Company is not
including the information contained on or available through its website as a
part of, or incorporating such information by reference into, this Annual Report
on Form 10-K.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f06%2f0000950137-07-003342.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Baker (Michael) Corporation","BKR","$317.1","In this Form 10-K, the terms “we,” “us,” or “our” refer to Michael Baker
Corporation and its subsidiaries collectively.  We were founded in 1940 and
organized as a Pennsylvania corporation in 1946.  Today, through our operating
subsidiaries, we provide engineering and energy expertise for public and private
sector clients worldwide.
   Information regarding the amounts of our revenues, income from operations
before Corporate overhead allocations, total assets, capital expenditures, and
depreciation and amortization expense attributable to our reportable segments is
contained in the “Business Segments” note to our consolidated financial
statements, which are included within Exhibit 13.1 to this Form 10-K.  Such
information is incorporated herein by reference.
   According to the annual listings published in 2006 by Engineering News Record
magazine, based on total engineering revenues for 2005, we ranked 37th among the
top 500 U.S.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f16%2f0000950152-07-002213.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Baldwin Technology Company, Inc.","BLD","$78.9","Baldwin Technology Company, Inc. (“Baldwin” or the “Company”) is a leading
global manufacturer of accessories and controls for the printing and publishing
industry. The Company offers its customers a broad range of products designed to
enhance the quality, productivity and cost-efficiency of the print manufacturing
process while addressing environmental concerns and safety issues. Baldwin’s
products include cleaning systems, fluid management and ink control systems, web
press protection systems and drying systems.
 
The Company sells its products both to printing press manufacturers who
incorporate the Company’s products into their own printing press systems for
sale to printers and publishers, as well as directly to printers and publishers
to upgrade the quality and capability of their existing and new printing
presses.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2006%2f09%2f28%2f0000950123-06-012078.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Ballantyne of Omaha, Inc.","BTN","$81.6","We are a manufacturer, distributor and service provider to the theatre
exhibition industry on a worldwide basis. Through our Strong® trademark, we can
fully outfit and automate a theatre projection booth. We also design, develop,
manufacture and distribute lighting systems to the worldwide entertainment
lighting industry through our Strong Entertainment lighting division. Finally,
we provide replacement parts, marinades and breading products to the food
service industry.

We are a Delaware Corporation and maintain our corporate office and primary
manufacturing facilities in Omaha, Nebraska. We were founded in 1932 and went
public in 1995. Our shares are traded on the American Stock Exchange under the
symbol BTN. We primarily operate within three business segments: 1) theatre, 2)
lighting and 3) restaurant. Approximately 92% of fiscal year 2006 sales were
from theatre products, while 6% were lighting products and 2% were restaurant
products.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f02%2f0001104659-07-024871.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Bancroft Convertible Fund, Inc.","BCV","$121.4","Not Available"
"BANRO CORPORATION","BAA","$484.4","No business description found."
"Bar Harbor Bankshares, Inc.","BHB","$92.6","Bar Harbor Bankshares (the ""Company"") was incorporated January 19, 1984. As of
March 6, 2007, the Company’s securities consisted of one class of common stock,
par value of $2.00 per share, of which there were 3,047,530 shares outstanding
held of record by approximately 1,021 shareholders. The Company has one, wholly
owned first tier operating subsidiary, Bar Harbor Bank & Trust (the ""Bank""), a
community bank, which offers a wide range of deposit, loan, and related banking
products, as well as brokerage services provided through a third-party brokerage
arrangement. In addition, the Company offers trust and investment management
services through its second tier subsidiary, Bar Harbor Trust Services (""Trust
Services""), a Maine chartered non-depository trust company. These products and
services are offered to individuals, businesses, not-for-profit organizations
and municipalities.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f16%2f0000743367-07-000027.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Barclays Bank PLC","BWV","N/A","No business description found."
"Barnwell Industries, Inc.","BRN","$119.0","Barnwell enjoyed its 50th year of operations in fiscal 2006, having been
incorporated in Delaware in 1956.  Barnwell has the following three principal
business segments:

†          Oil and Natural Gas Segment.  Barnwell engages in oil and natural gas
exploration, development, production and sales, primarily in Canada.

†          Land Investment Segment.  Barnwell invests in leasehold interests in
real estate in Hawaii.

†          Contract Drilling Segment.  Barnwell provides well drilling services,
contract labor servicing for geothermal well drilling and workovers, and water
pumping system installation and repair in Hawaii.

Barnwell’s oil and natural gas activities comprise its largest business
segment.  Approximately 66% of Barnwell’s revenues for the fiscal year ended
September 30, 2006 was attributable to its oil and natural gas activities.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2006%2f12%2f21%2f0001104659-06-083014.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Bell Industries, Inc.","BI","$18.6","Bell Industries, Inc.’s operations include technology product sales and managed
technology lifecycle services; sales of aftermarket products for recreational
vehicles, motorcycles and ATVs, snowmobiles, and powerboats; and, as of
January 31, 2007, national wireless services and support, including email,
interactive two-way messaging, wireless telemetry services and traditional text
and numeric paging. Bell employed approximately 1,150 people at December 31,
2006.
 
Technology Solutions
 
Bell’s Technology Solutions business (“Technology Solutions”), (2006 net
revenues of $75.6 million) is a provider of integrated technology solutions for
organizations throughout the United States. Technology Solutions is
headquartered in Indianapolis, Indiana, and has offices and service facilities
in the Midwest and Atlantic regions.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f02%2f0000950134-07-007278.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Berkshire Income Realty, Inc.","BIR^A","$72.0","2006 was another year of successful operations for Berkshire Income Realty, Inc.
(the “Company” or “BIR”). BIR expanded its property holdings with the
acquisition of an additional three properties in transactions that approximated
$70,542,000 of aggregate purchase price at the time of purchase, while selling
its interest in Marina Mile, a multifamily venture. The Company funded an
additional $10,641,000 of its total commitment of capital of $23,400,000 in the
Berkshire Multifamily Value Fund, a limited partnership, an affiliate of the
Company, bringing the total that has been invested as of year end to
$12,181,301, or approximately 52%.

As in previous years, the Company continued to monitor the debt markets and took
advantage of favorable market conditions by fixing interest rates on more than
$170,053,000 of both new and refinanced mortgages.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f28%2f0001178862-07-000004.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Beverly National Corporation","BNV","$55.9","Beverly National Corporation, a Massachusetts corporation (the “Company” or the
“Holding Company”), is a registered bank holding company under the Bank Holding
Company Act of 1956, as amended. The Holding Company has one banking subsidiary,
Beverly National Bank (the “Bank”). The principal executive office of the
Company is located at 240 Cabot Street, Beverly, Massachusetts 01915, and the
telephone number is (978) 922-2100. The website for the Company and the Bank is
“www.beverlynational.com.” The Company provides a link on its website to its
Annual Report on Form 10-K, quarterly reports on Forms 10-Q, current reports on
Form 8-K and other filings with the Securities and Exchange Commission (the
“SEC”) as soon as reasonably practicable after filing such reports with the SEC.
Also available on the website are the respective Charters of the Board’s
Nominating, Governance, Audit, and Compensation and Benefits Committees.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f30%2f0001193125-07-070125.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Bio-Rad Laboratories, Inc.","BIO","$2,312.2","Founded in 1952 and incorporated in 1957, Bio-Rad Laboratories, Inc. (referred
to in this report as “Bio-Rad,” “we,” “us,” and “our”) was initially engaged in
the development and produc­tion of specialty chemicals used in biochemical,
pharmaceutical and other life science research applications.  In 1967, Bio-Rad
entered the field of clinical diagnostics with the development of its first test
kit based on separation techniques and materials developed for life science
research.  Bio-Rad expanded into the field of analytical and measuring
instrument systems through internal research and development efforts and
acquisitions in the late 1970's and 1980's.  In 1999, Bio-Rad acquired the stock
of Pasteur Sanofi Diagnostics and the rights to certain ancillary assets.  This
strengthened our position in the HIV and infectious disease diagnostic product
market.  In 2000 and 2004, Bio-Rad divested its semiconductor, optoelectronic
metrology and confocal microscopy product lines.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f01%2f0000012208-07-000011.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Bio-Rad Laboratories, Inc.","BIO/B","$536.6","Founded in 1952 and incorporated in 1957, Bio-Rad Laboratories, Inc. (referred
to in this report as “Bio-Rad,” “we,” “us,” and “our”) was initially engaged in
the development and produc­tion of specialty chemicals used in biochemical,
pharmaceutical and other life science research applications.  In 1967, Bio-Rad
entered the field of clinical diagnostics with the development of its first test
kit based on separation techniques and materials developed for life science
research.  Bio-Rad expanded into the field of analytical and measuring
instrument systems through internal research and development efforts and
acquisitions in the late 1970's and 1980's.  In 1999, Bio-Rad acquired the stock
of Pasteur Sanofi Diagnostics and the rights to certain ancillary assets.  This
strengthened our position in the HIV and infectious disease diagnostic product
market.  In 2000 and 2004, Bio-Rad divested its semiconductor, optoelectronic
metrology and confocal microscopy product lines.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f01%2f0000012208-07-000011.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Birch Mountain Resources, Ltd.","BMD","$87.8","Birch was formed under the provisions of the ABCA, by amalgamation of one of
Birch's predecessors, also named Birch Mountain Resources Ltd., and its wholly
owned subsidiary, Birch Mountain Minerals Ltd on December 31, 1995.

Birch's head office and registered office are located at Suite 300, 250 - Sixth
Avenue S.W., Bow Valley Square 4, Calgary, Alberta T2P 3H7, phone: (403)
262-1838, and Suite 1000, 400 Third Avenue S.W., Calgary, Alberta T2P 4H2,
phone: (403) 232-9500, respectively.

The Company is currently focused on industrial minerals and the development of a
limestone quarry and limestone processing facilities on its mineral leases in
northern Alberta, near the City of Fort McMurray and in the center of the
Canadian oil sands industry.

Birch was founded in 1995 as a junior mineral exploration company. Prior to 2000
it explored for precious metals, base metals and diamonds on properties in
western Canada, the Yukon and Kalimantan, Indonesia.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2006%2f11%2f17%2f0001204459-06-001052.html#FIS_COMPANY_INFORMATION"" &nbsp;&nbsp;"
"Birks & Mayors Inc.","BMJ","$22.3","Birks & Mayors is a leading North American luxury jewelry brand which designs,
develops, makes and retails fine jewelry, time pieces, sterling silver and
gifts. As of May 31, 2007, Birks & Mayors operated 67 luxury jewelry stores, 38
stores under the Birks brand, located in all major cities across Canada, and
29 stores under the Mayors brand, located in Florida and Georgia. As a luxury

 

                                       10

--------------------------------------------------------------------------------
  Table of Contents  

jeweler, most of our jewelry products are constructed of 18 karat gold, platinum
or sterling silver, with or without precious gemstones, with significant
emphasis on quality craftsmanship and distinctive design. For the fiscal year
ended March 31, 2007, we had net sales of $294.3 million.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f06%2f18%2f0001193125-07-136863.html#FIS_COMPANY_INFORMATION"" &nbsp;&nbsp;"
"BIW Limited","BIW","$39.2","BIW Limited (""BIW"" or the ""Company"") is the parent company of Birmingham
Utilities, Inc. (""BUI"" or ""Birmingham Utilities"") a specially chartered
Connecticut public service corporation in the business of collecting and
distributing water for domestic, commercial and industrial uses and fire
protection in Ansonia and Derby, Connecticut, and in small parts of the
contiguous Town of Seymour, which is referred to as the Ansonia division. Water
service is also provided for domestic and commercial use in 33 satellite water
operations in 16 towns in eastern Connecticut, which form BUI's Eastern
Division. This division, which was acquired in 2003, was the former Eastern
Connecticut Regional Water Company, Inc. In November of 2006, as part of the
Connecticut Department of Public Utility Control's rate order, both the Ansonia
and Eastern division were combined for regulatory purposes. Birmingham H2O
Services Inc.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f30%2f0001072613-07-001009.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"BlackRock Broad Investment Grade 2009 Term Trust Inc. (The)","BCT","$40.6","Not Available"
"BlackRock California Investment Quality Municipal Trust Inc.","RAA","$12.5","Not Available"
"BlackRock California Municipal Income Trust II","BCL","$117.5","Not Available"
"BlackRock Florida Investment Quality Municipal Trust Inc. (The","RFA","$13.1","Not Available"
"BlackRock Maryland Municipal Bond Trust","BZM","$32.1","Not Available"
"BlackRock Municipal Income Trust II","BLE","$327.2","Not Available"
"BlackRock New Jersey Investment Quality Municipal Trust Inc.","RNJ","$15.2","Not Available"
"Blackrock New Jersey Municipal Bond Trust","BLJ","$38.2","Not Available"
"BlackRock New York Investment Quality Municipal Trust Inc. (Th","RNY","$19.0","Not Available"
"BlackRock New York Municipal Income Trust II","BFY","$71.2","Not Available"
"BlackRock Pennsylvania Strategic Municipal Trust (The)","BPS","$29.6","Not Available"
"BlackRock Virginia Municipal Bond Trust","BHV","$29.8","Not Available"
"Blonder Tongue Laboratories, Inc.","BDR","$6.8","Since it’s founding in 1950, Blonder Tongue has been an innovative designer
and  manufacturer  of  products  for the cable  television  industry,  primarily
focused  on  the   development   of  technology   for  niche  cable   television
applications.  This  focus has given the  Company  a  dominant  position  in the
private cable market. During the past several years the differentiation  between
the  franchised  and private  cable  markets  has blurred due to the  consumer’s
increased  expectations  for cutting  edge  services  such as  high-speed  data,
telephony,  and digital video offerings.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f03%2f0001137439-07-000109.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"BMB Munai, Inc.","KAZ","$264.6","BMB Munai, Inc. is an independent oil and natural gas company engaged in the
exploration, development, acquisition and production of crude oil and natural
gas properties in the Republic of Kazakhstan (sometimes also referred to herein
as the “ROK” or “Kazakhstan”). We hold a contract that allows us to explore and
develop approximately 460 square kilometers in western Kazakhstan located
onshore in the Mangistau Oblast, approximately 50 kilometers from the Kazakhstan
city of Aktau, a seaport on the Caspian Sea.

 

                                       4

 


--------------------------------------------------------------------------------
 

 

We generate revenue, income and cash flow by producing and selling crude oil
from production from our properties. We make significant capital expenditures in
our exploration and development activities that we anticipate will allow us to
increase and improve our ability to generate revenue.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f06%2f14%2f0001038838-07-000427.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Bolt Technology Corporation","BTJ","$206.0","The Company was organized as a corporation in 1962. We operate in two business
segments: geophysical equipment and industrial products. Our geophysical
equipment segment develops, manufactures and sells marine seismic energy sources
and underwater electrical connectors and cables, seismic source monitoring
systems, air gun signature hydrophones and pressure transducers used by the
marine seismic industry. Our industrial products segment develops, manufactures
and sells miniature industrial clutches, brakes and sub-fractional horsepower
electric motors. See Notes 2 and 9 to the Consolidated Financial Statements for
information regarding industry segments and sales by geographic areas.

The Company consists of three operating units: Bolt Technology Corporation
(“Bolt”), A-G Geophysical Products, Inc. (“A-G”) and Custom Products Corporation
(“Custom Products”). Bolt and A-G are in the “geophysical equipment” segment.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f09%2f10%2f0001193125-07-198291.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Boots and Coots International Well Control,  Inc.","WEL","$101.9","We provide a suite of integrated pressure control and related services to
onshore and offshore oil and gas exploration and development companies,
principally in North America, South America, North Africa, West Africa and the
Middle East. Our well intervention segment consists of services that are
designed to enhance production for oil and gas operators and to reduce the
number and severity of critical events such as oil and gas well fires, blowouts,
or other losses of control at the well. Our well intervention segment includes
services performed by hydraulic workover and snubbing units that are used to
enhance production of oil and gas wells. These units may be used for
underbalanced drilling, workover, well completions and plugging and abandonment
services. This segment also includes training, contingency planning, well plan
reviews, audits, inspection services and engineering services.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f23%2f0001140361-07-006288.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Bovie Medical Corporation","BVX","$114.3","Bovie Medical Corporation (“the Company” or “Bovie”) was incorporated in 1982,
under the laws of the State of Delaware and has its principal executive office
at 734 Walt Whitman Road, Melville, New York 11747.

Bovie is actively engaged in the business of manufacturing and marketing medical
products and developing related technologies. Aaron Medical Industries, Inc.
(“Aaron”), a 100% owned subsidiary based in St. Petersburg, Florida is engaged
in marketing our medical products. Bovie Canada ULC, a 100% owned subsidiary
located in Windsor, Ontario, functions mainly as a product development and
manufacturing company focused on endoscopic devices. Over the past several
years, we changed our focus to the manufacture and marketing of generators and
electrosurgical disposables, evidenced by the development of a broad range of
electrosurgical generators designed for doctor’s offices, surgicenters and
hospitals.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f22%2f0000719135-07-000012.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Bowl America, Inc.","BWL/A","$58.5","Bowl America Incorporated (herein referred to as the Company) was 
incorporated in 1958.  The Company commenced business with one bowling center 
in 1958, and at the end of the past fiscal year, the Company and its wholly-
owned subsidiaries operated 19 bowling centers.  The Company's newest location,
a 40 lane center in metropolitan Richmond, Virginia, opened January 27, 2006.

         (b)   Financial Information about Industry Segments
         The Company operates in one segment.  Its principal source of
revenue consists of fees charged for the use of bowling lanes and other
facilities and from the sale of food and beverages for consumption on the
premises.  Merchandise sales, including food and beverages, were approximately
29% of operating revenues.  The balance of operating revenues (approximately
71%) represents fees for bowling and related services.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2006%2f09%2f29%2f0000013573-06-000015.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"BPI Industries, Inc.","BPG","$23.9","We are engaged in the exploration, production and commercial sale of coalbed
methane (“CBM”). CBM is a form of natural gas that is generated during coal
formation and is contained in underground coal seams and abandoned mines.
 
Methane is the primary commercial component of natural gas produced from
conventional gas wells. Natural gas produced from conventional wells generally
contains other hydrocarbons in varying amounts that require the natural gas to
be processed. CBM is generally pipeline-quality gas after simple water
dehydration and removal of traces of nitrogen and other impurities.
 
CBM production is similar to conventional natural gas production in terms of the
physical producing facilities. However, the subsurface mechanisms that allow gas
movement to the wellbore are very different. Conventional natural gas wells
require a subsurface that is porous, allows the gas to migrate easily, and
contains a natural trap to capture and hold the gas reservoir.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2006%2f10%2f30%2f0000950152-06-008560.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"BPZ Resources, Inc","BZP","$699.0","BPZ Energy, Inc., (the “Company” or  “BPZ”) a Colorado corporation, formerly
named Navidec, Inc., was incorporated in 1993 and is based in Houston, Texas. We
are an exploratory stage company focused on the exploration and production of
oil and natural gas and we intend to utilize part of our future natural gas
production for the complementary development of gas-fired power generation.

On September 10, 2004, BPZ Energy, Inc., a Texas, (BPZ-Texas”) corporation
consummated a reverse merger with Navidec, Inc., a Colorado corporation
(“Navidec”), whereby BPZ-Texas became a wholly owned subsidiary of Navidec (the
“Merger”). See “Business—Navidec Merger Transaction” and Note 2 to the Company’s
Consolidated Financial Statements, both included in this filing, for detailed
discussion regarding the Merger.

We maintain a registered branch office in Peru.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f16%2f0001104659-07-019925.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Breeze-Eastern Corporation","BZC","$106.4","Breeze-Eastern Corporation, formerly TransTechnology Corporation (“TTC”),
designs, develops, manufactures, and sells sophisticated lifting equipment for
specialty aerospace and defense applications. The Company was originally
organized in 1962 as a California corporation and reincorporated in Delaware in
1986. Unless the context otherwise requires, references to the “Company” or the
“Registrant” or “Breeze-Eastern” refer to Breeze-Eastern Corporation (including
the California corporation prior to the reincorporation) and its consolidated
subsidiaries. The Company’s fiscal year ends on March 31. Accordingly, all
references to years in this Report refer to the fiscal year ended March 31 of
the indicated year unless otherwise specified.
CORE BUSINESS
Breeze-Eastern’s core business is aerospace and defense products. Breeze-Eastern
is the world’s leading designer, manufacturer, service provider, and supplier of
performance-critical rescue hoists and cargo hook systems.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f06%2f14%2f0000950123-07-008711.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"British American Tobacco  Industries, p.l.c.","BTI","$1,715.8","No business description found."
"Brooke Capital Corporation","BCP","$18.1","First American Capital Corporation (the ""Company"") was incorporated on July 10,
1996 for the purpose of forming, owning and managing life insurance companies.
The Company sold 2,120,000 shares at $.10 per share to its organizing
shareholders in August of 1996 for total proceeds of $212,000. Also, in
September, 1996, the Company sold 600,000 shares of its common stock for $1.00
per share in a separate private placement. The initial capital was used to fund
the Company's efforts to register a $12,500,000 intra-state public offering with
the Office of the Kansas Securities Commissioner.

On January 11, 1999, the Company completed the intra-state public stock offering
raising approximately $13,750,000 of capital by selling 2,750,000 shares of
common stock at $5.00 per share. These funds were used to capitalize the life
insurance company, purchase and develop real estate assets and fund operations.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2006%2f03%2f31%2f0001082084-06-000003.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"BSD Medical Corporation","BSM","$115.1","BSD Medical Corporation develops, manufactures, markets and services
medical systems that deliver precision-focused radio frequency (RF) or microwave
energy into diseased sites of the body, heating them to specified temperatures
as required by a variety of medical therapies. Our business objectives are to
commercialize our products developed for the treatment of cancer and to further
expand our developments to treat other diseases and medical conditions. Our
product line for cancer therapy has been created to offer hospitals and clinics
a complete solution for thermal treatment of cancer as provided through
microwave/RF systems.

         While our primary developments to date have been cancer treatment
systems, we also pioneered the use of microwave thermal therapy for the
treatment of symptoms associated with enlarged prostate, and we are responsible
for much of the technology that has successfully created a substantial new
medical industry using that therapy.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2006%2f11%2f29%2f0001096906-06-001522.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"CabelTel International Corporation","GBR","$1.9","CabelTel International Corporation (""CabelTel"" or the ""Company"" or ""we"" or ""us"")
was  incorporated in Nevada on May 31, 1991,  originally  under the name Medical
Resource Companies of America. The Company is the  successor-by-merger to Wespac
Investors  Trust, a California  business trust that began  operating in 1982. On
March 26, 1996, the name was changed to Greenbriar  Corporation;  on February 8,
2005, the name of the Company was changed to CabelTel International Corporation.

Business Operations

     We own, lease and operate real estate through:

     (i)  leasing and operation of a retirement  community in King City, Oregon,
          with a capacity of 114 residents, and

     (ii) ownership and operation of an outlet mall in Gainesville,  Texas, with
          approximately 315,000 square feet of retail space available for lease.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f02%2f0001010549-07-000280.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Cagle's, Inc.","CGL/A","$34.5","Cagle's, Inc. (the ""Company""), which began business in 1945 and was first
incorporated in Georgia in 1953, and its wholly owned subsidiary (Cagle's Farms,
Inc., formerly Strain Poultry Farms, Inc.) produce, market, and distribute a
variety of fresh and frozen poultry products.  The vertically integrated
operations of the Company consist of breeding, hatching, and growing of
chickens; feed milling; processing; further processing; and marketing
operations.  The Company's products are sold to national and regional
independent and chain supermarkets, food distributors, food processing
companies, national fast-food chains, and institutional users, such as
restaurants, schools, and distributors, by the Company's sales staff located in
Atlanta, Georgia, and through brokers selected by the Company.


Dispositions

The company sold its 30% interest in an unconsolidated affiliate for $28,000 on
August 15, 2006 and recorded a gain of $18,323 as other income.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f06%2f14%2f0000016104-07-000019.html#FIS_BUSINESS"" &nbsp;&nbsp;"
